Age,Weight,Height,Activity Level,Gender,Basic Metabolic Rate,BMI,Diet Breakfast,Diet Lunch,Diet Dinner,Snacks
52,115.4,178.0,Moderately Active,Female,1845.5,36.4,Eggs & Toast_450_Calories,Sandwich_500_Calories,Grilled Chicken with Vegetables_500_Calories,Chips_300_Calories
72,75.4,167.9,Sedentary,Female,1282.375,26.7,Oatmeal_350_Calories,Stir Fry_600_Calories,Fish and Rice_700_Calories,Fruit_120_Calories
35,84.2,154.8,Moderately Active,Other,1473.5,35.1,Oatmeal_350_Calories,Pasta_650_Calories,Grilled Chicken with Vegetables_500_Calories,Chips_300_Calories
53,73.8,184.6,Sedentary,Female,1465.75,21.7,Eggs & Toast_450_Calories,Pasta_650_Calories,Vegetarian Pizza_800_Calories,Protein Bar_200_Calories
25,57.5,168.6,Very Active,Other,1342.75,20.2,Smoothie_300_Calories,Salad_300_Calories,Beef Stew_750_Calories,Fruit_120_Calories
63,78.1,176.2,Sedentary,Other,1406.25,25.2,Smoothie_300_Calories,Sandwich_500_Calories,Grilled Chicken with Vegetables_500_Calories,Protein Bar_200_Calories
77,117.4,199.1,Extremely Active,Male,2038.375,29.6,Eggs & Toast_450_Calories,Pasta_650_Calories,Fish and Rice_700_Calories,Fruit_120_Calories
66,107.6,163.9,Extremely Active,Male,1775.375,40.1,Eggs & Toast_450_Calories,Stir Fry_600_Calories,Grilled Chicken with Vegetables_500_Calories,Protein Bar_200_Calories
55,103.3,156.6,Very Active,Female,1575.75,42.1,Oatmeal_350_Calories,Salad_300_Calories,Vegetarian Pizza_800_Calories,Protein Bar_200_Calories
22,57.1,157.0,Lightly Active,Male,1447.25,23.2,Smoothie_300_Calories,Sandwich_500_Calories,Fish and Rice_700_Calories,Protein Bar_200_Calories
71,50.8,168.7,Extremely Active,Female,1046.375,17.8,Eggs & Toast_450_Calories,Pasta_650_Calories,Beef Stew_750_Calories,Fruit_120_Calories
31,59.8,195.9,Sedentary,Other,1506.375,15.6,Oatmeal_350_Calories,Sandwich_500_Calories,Vegetarian Pizza_800_Calories,Fruit_120_Calories
55,77.2,167.4,Extremely Active,Female,1382.25,27.5,Yogurt & Fruit_400_Calories,Salad_300_Calories,Beef Stew_750_Calories,Chips_300_Calories
